 Wavelength (nm) | Sum        | Al I (2.4e-02) | Al II (4.8e-01) | Al III (3.5e-04) | Ca I (8.5e-03) | Ca II (4.5e-01) | Ca III (4.6e-02) |
     364.77      | 2.316e+7   |                | 1.081e+5        |                  | 2.305e+7       |                 |                  |
     364.82      | 1.788e+7   |                | 1.319e+5        |                  | 1.774e+7       |                 |                  |
     364.87      | 1.331e+7   |                | 1.566e+5        |                  | 1.316e+7       |                 |                  |
     364.92      | 9.578e+6   |                | 1.814e+5        |                  | 9.396e+6       |                 |                  |
     364.97      | 6.669e+6   |                | 2.054e+5        |                  | 6.464e+6       |                 |                  |
     365.02      | 4.511e+6   |                | 2.279e+5        |                  | 4.283e+6       |                 |                  |
     365.07      | 2.981e+6   |                | 2.482e+5        |                  | 2.733e+6       |                 |                  |
     365.12      | 1.946e+6   |                | 2.662e+5        |                  | 1.680e+6       |                 |                  |
     365.17      | 1.277e+6   |                | 2.818e+5        |                  | 9.948e+5       |                 |                  |
     365.22      | 8.620e+5   |                | 2.946e+5        |                  | 5.673e+5       |                 |                  |
     365.27      | 6.162e+5   |                | 3.046e+5        |                  | 3.117e+5       |                 |                  |
     365.32      | 4.759e+5   |                | 3.110e+5        |                  | 1.649e+5       |                 |                  |
     365.37      | 3.972e+5   |                | 3.132e+5        |                  | 8.405e+4       |                 |                  |
     365.42      | 3.516e+5   |                | 3.103e+5        |                  | 4.126e+4       |                 |                  |
     365.47      | 3.211e+5   |                | 3.016e+5        |                  | 1.951e+4       |                 |                  |
     365.52      | 2.956e+5   |                | 2.867e+5        |                  | 8.886e+3       |                 |                  |
     365.57      | 2.697e+5   |                | 2.658e+5        |                  | 3.899e+3       |                 |                  |
     365.62      | 2.414e+5   |                | 2.398e+5        |                  | 1.648e+3       |                 |                  |
     365.67      | 2.106e+5   |                | 2.099e+5        |                  | 6.706e+2       |                 |                  |
     365.72      | 1.784e+5   |                | 1.781e+5        |                  | 2.630e+2       |                 |                  |
     365.77      | 1.463e+5   |                | 1.462e+5        |                  | 9.932e+1       |                 |                  |
     365.82      | 1.161e+5   |                | 1.161e+5        |                  | 3.617e+1       |                 |                  |
     365.87      | 8.896e+4   |                | 8.895e+4        |                  | 1.278e+1       |                 |                  |
     365.92      | 6.580e+4   |                | 6.580e+4        |                  | 4.611e+0       |                 |                  |
     365.97      | 4.696e+4   |                | 4.695e+4        |                  | 2.343e+0       |                 |                  |
     366.02      | 3.231e+4   |                | 3.231e+4        |                  | 3.027e+0       |                 |                  |
     366.07      | 2.144e+4   |                | 2.144e+4        |                  | 6.926e+0       |                 |                  |
     366.12      | 1.372e+4   |                | 1.371e+4        |                  | 1.721e+1       |                 |                  |
     366.17      | 8.488e+3   |                | 8.446e+3        |                  | 4.185e+1       |                 |                  |
     366.22      | 5.114e+3   |                | 5.015e+3        |                  | 9.832e+1       |                 |                  |
     366.27      | 3.092e+3   |                | 2.869e+3        |                  | 2.228e+2       |                 |                  |
     366.32      | 2.069e+3   |                | 1.582e+3        |                  | 4.871e+2       |                 |                  |
     366.37      | 1.867e+3   |                | 8.399e+2        |                  | 1.027e+3       |                 |                  |
     366.42      | 2.519e+3   |                | 4.297e+2        |                  | 2.090e+3       |                 |                  |
     366.47      | 4.314e+3   |                | 2.117e+2        |                  | 4.103e+3       |                 |                  |
     366.52      | 7.875e+3   |                | 1.005e+2        |                  | 7.774e+3       |                 |                  |
     366.57      | 1.427e+4   |                | 4.597e+1        |                  | 1.422e+4       |                 |                  |
     366.62      | 2.514e+4   |                | 2.025e+1        |                  | 2.512e+4       |                 |                  |
     366.67      | 4.287e+4   |                | 8.594e+0        |                  | 4.286e+4       |                 |                  |
     366.72      | 7.067e+4   |                | 3.513e+0        |                  | 7.066e+4       |                 |                  |
     366.77      | 1.126e+5   |                | 1.383e+0        |                  | 1.126e+5       |                 |                  |
     366.82      | 1.735e+5   |                | 5.247e-1        |                  | 1.735e+5       |                 |                  |
     366.87      | 2.585e+5   |                | 1.917e-1        |                  | 2.585e+5       |                 |                  |
     366.92      | 3.729e+5   |                | 6.748e-2        |                  | 3.729e+5       |                 |                  |
     366.97      | 5.208e+5   |                | 2.288e-2        |                  | 5.208e+5       |                 |                  |
     367.02      | 7.049e+5   |                | 7.471e-3        |                  | 7.049e+5       |                 |                  |
     367.07      | 9.253e+5   |                | 2.350e-3        |                  | 9.253e+5       |                 |                  |
     367.12      | 1.179e+6   |                | 7.122e-4        |                  | 1.179e+6       |                 |                  |
     367.17      | 1.459e+6   |                | 2.079e-4        |                  | 1.459e+6       |                 |                  |
     367.22      | 1.757e+6   |                | 5.845e-5        |                  | 1.757e+6       |                 |                  |
     367.27      | 2.060e+6   |                | 1.583e-5        |                  | 2.060e+6       |                 |                  |
     367.32      | 2.356e+6   |                | 4.130e-6        |                  | 2.356e+6       |                 |                  |
     367.37      | 2.631e+6   |                | 1.038e-6        |                  | 2.631e+6       |                 |                  |
     367.42      | 2.874e+6   |                | 2.512e-7        |                  | 2.874e+6       |                 |                  |
     367.47      | 3.074e+6   |                | 5.858e-8        |                  | 3.074e+6       |                 |                  |
     367.52      | 3.223e+6   |                | 1.316e-8        |                  | 3.223e+6       |                 |                  |
     367.57      | 3.317e+6   |                | 2.847e-9        |                  | 3.317e+6       |                 |                  |
     367.62      | 3.350e+6   |                | 5.934e-10       |                  | 3.350e+6       |                 |                  |
     367.67      | 3.322e+6   |                | 1.191e-10       |                  | 3.322e+6       |                 |                  |
     367.72      | 3.231e+6   |                | 2.304e-11       |                  | 3.231e+6       |                 |                  |
     367.77      | 3.081e+6   |                |                 |                  | 3.081e+6       |                 |                  |
     367.82      | 2.875e+6   |                |                 |                  | 2.875e+6       |                 |                  |
     367.87      | 2.622e+6   |                |                 |                  | 2.622e+6       |                 |                  |
     367.92      | 2.333e+6   |                |                 |                  | 2.333e+6       |                 |                  |
     367.97      | 2.022e+6   |                |                 | 1.335e-16        | 2.022e+6       |                 |                  |
     368.02      | 1.705e+6   |                |                 | 6.718e-16        | 1.705e+6       |                 |                  |
     368.07      | 1.395e+6   |                |                 | 3.261e-15        | 1.395e+6       |                 |                  |
     368.12      | 1.108e+6   |                | 8.402e-11       | 1.526e-14        | 1.108e+6       |                 |                  |
     368.17      | 8.520e+5   |                | 4.103e-10       | 6.884e-14        | 8.520e+5       |                 |                  |
     368.22      | 6.342e+5   |                | 1.932e-9        | 2.994e-13        | 6.342e+5       |                 |                  |
     368.27      | 4.566e+5   |                | 8.774e-9        | 1.256e-12        | 4.566e+5       |                 |                  |
     368.32      | 3.177e+5   |                | 3.841e-8        | 5.079e-12        | 3.177e+5       |                 |                  |
     368.37      | 2.135e+5   |                | 1.622e-7        | 1.980e-11        | 2.135e+5       | 2.290e-7        |                  |
